director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
AdamRobitel,TaylorRussell,LoganMiller,DeborahAnnWoll,horror thriller mystery,Escape Room,TaylorRussell LoganMiller DeborahAnnWoll AdamRobitel horror thriller mystery
JenMcGowan,HermioneCorfield,JayPaulson,SeanO'Bryan,thriller drama,Rust Creek,HermioneCorfield JayPaulson SeanO'Bryan JenMcGowan thriller drama
WilsonConeybeare,DonaldSutherland,VincentKartheiser,OliverDennis,thriller,American Hangman,DonaldSutherland VincentKartheiser OliverDennis WilsonConeybeare thriller
CharlesMartinSmith,BryceDallasHoward,EdwardJamesOlmos,AlexandraShipp,drama adventure family,A Dog's Way Home,BryceDallasHoward EdwardJamesOlmos AlexandraShipp CharlesMartinSmith drama adventure family
NeilBurger,BryanCranston,KevinHart,NicoleKidman,comedy drama,The Upside,BryanCranston KevinHart NicoleKidman NeilBurger comedy drama
JeffreyNachmanoff,KeanuReeves,unknown,unknown,science fiction thriller,Replicas,KeanuReeves unknown unknown JeffreyNachmanoff science fiction thriller
BatánSilva,NataliaDyer,KyraSedgwick,TimDaly,drama family thriller science fiction,After Darkness,NataliaDyer KyraSedgwick TimDaly BatánSilva drama family thriller science fiction
M.NightShyamalan,JamesMcAvoy,BruceWillis,SamuelL.Jackson,thriller drama science fiction,Glass,JamesMcAvoy BruceWillis SamuelL.Jackson M.NightShyamalan thriller drama science fiction
VickyJewson,NoomiRapace,SophieNélisse,IndiraVarma,action thriller,Close,NoomiRapace SophieNélisse IndiraVarma VickyJewson action thriller
HenryDunham,JamesBadgeDale,BrianGeraghty,unknown,drama thriller mystery,The Standoff at Sparrow Creek,JamesBadgeDale BrianGeraghty unknown HenryDunham drama thriller mystery
TimothyWoodwardJr.,LinShaye,MichaelWelch,MelissaBolona,horror,The Final Wish,LinShaye MichaelWelch MelissaBolona TimothyWoodwardJr. horror
JoeCornish,LouisAshbourneSerkis,DeanChaumoo,TomTaylor,action adventure fantasy family,The Kid Who Would Be King,LouisAshbourneSerkis DeanChaumoo TomTaylor JoeCornish action adventure fantasy family
StevenKnight,MatthewMcConaughey,AnneHathaway,JasonClarke,science fiction action adventure thriller,Serenity,MatthewMcConaughey AnneHathaway JasonClarke StevenKnight science fiction action adventure thriller
AndrewPatterson,SierraMcCormick,JamesMontague,CraigW.Sanger(writers);SierraMcCormick,mystery science fiction thriller,The Vast of Night,SierraMcCormick JamesMontague CraigW.Sanger(writers);SierraMcCormick AndrewPatterson mystery science fiction thriller
CatherineHardwicke,GinaRodriguez,IsmaelCruzCórdova,AnthonyMackie,action,Miss Bala,GinaRodriguez IsmaelCruzCórdova AnthonyMackie CatherineHardwicke action
DanGilroy,JakeGyllenhaal,ReneRusso,ToniCollette,thriller mystery horror,Velvet Buzzsaw,JakeGyllenhaal ReneRusso ToniCollette DanGilroy thriller mystery horror
NicolasPesce,ChristopherAbbott,MiaWasikowska,LaiaCosta,thriller horror mystery,Piercing,ChristopherAbbott MiaWasikowska LaiaCosta NicolasPesce thriller horror mystery
MikeMitchell,ChrisPratt,ElizabethBanks,TiffanyHaddish,action adventure animation comedy family,The Lego Movie 2: The Second Part,ChrisPratt ElizabethBanks TiffanyHaddish MikeMitchell action adventure animation comedy family
AdamShankman,TarajiP.Henson,TracyMorgan,MaxGreenfield,comedy romance,What Men Want,TarajiP.Henson TracyMorgan MaxGreenfield AdamShankman comedy romance
HansPetterMoland,LiamNeeson,TomBateman,TomJackson,action crime thriller,Cold Pursuit,LiamNeeson TomBateman TomJackson HansPetterMoland action crime thriller
StevenSoderbergh,AndréHolland,ZazieBeetz,MelvinGregg,drama,High Flying Bird,AndréHolland ZazieBeetz MelvinGregg StevenSoderbergh drama
NicholasMcCarthy,TaylorSchilling,PeterMooney,ColmFeore,horror thriller,The Prodigy,TaylorSchilling PeterMooney ColmFeore NicholasMcCarthy horror thriller
ToddStrauss-Schulson,RebelWilson,LiamHemsworth,AdamDeVine,comedy fantasy romance,Isn't It Romantic,RebelWilson LiamHemsworth AdamDeVine ToddStrauss-Schulson comedy fantasy romance
ChristopherLandon,JessicaRothe,IsraelBroussard,PhiVu,comedy horror science fiction,Happy Death Day 2U,JessicaRothe IsraelBroussard PhiVu ChristopherLandon comedy horror science fiction
RobertRodriguez,RosaSalazar,ChristophWaltz,JenniferConnelly,action science fiction adventure,Alita: Battle Angel,RosaSalazar ChristophWaltz JenniferConnelly RobertRodriguez action science fiction adventure
DeanDeBlois,JayBaruchel,AmericaFerrera,CateBlanchett,animation family adventure,How to Train Your Dragon: The Hidden World,JayBaruchel AmericaFerrera CateBlanchett DeanDeBlois animation family adventure
StephenMerchant,FlorencePugh,LenaHeadey,NickFrost,comedy,Fighting with My Family,FlorencePugh LenaHeadey NickFrost StephenMerchant comedy
TylerPerry,TylerPerry,CourtneyBurrell,PatriceLovely,comedy,Tyler Perry's A Madea Family Funeral,TylerPerry CourtneyBurrell PatriceLovely TylerPerry comedy
NeilJordan,IsabelleHuppert,ChloëGraceMoretz,MaikaMonroe,drama mystery thriller horror,Greta,IsabelleHuppert ChloëGraceMoretz MaikaMonroe NeilJordan drama mystery thriller horror
J.C.Chandor,BenAffleck,OscarIsaac,CharlieHunnam,action thriller crime adventure,Triple Frontier,BenAffleck OscarIsaac CharlieHunnam J.C.Chandor action thriller crime adventure
"AnnaBoden,RyanFleck",BrieLarson,SamuelL.Jackson,BenMendelsohn,action adventure science fiction,Captain Marvel,"BrieLarson SamuelL.Jackson BenMendelsohn AnnaBoden,RyanFleck action adventure science fiction"
VincentD'Onofrio,EthanHawke,DaneDeHaan,JakeSchur,fantasy comedy family,The Kid,EthanHawke DaneDeHaan JakeSchur VincentD'Onofrio fantasy comedy family
RupertWyatt,JohnGoodman,AshtonSanders,JonathanMajors,science fiction,Captive State,JohnGoodman AshtonSanders JonathanMajors RupertWyatt science fiction
KattShea,SophiaLillis,ZoeRenee,MackenzieGraham,crime family comedy mystery,Nancy Drew and the Hidden Staircase,SophiaLillis ZoeRenee MackenzieGraham KattShea crime family comedy mystery
JamesKent,AlexanderSkarsgård,KeiraKnightley,JasonClarke,war drama romance,The Aftermath,AlexanderSkarsgård KeiraKnightley JasonClarke JamesKent war drama romance
JustinBaldoni,ColeSprouse,HaleyLuRichardson,unknown,romance drama,Five Feet Apart,ColeSprouse HaleyLuRichardson unknown JustinBaldoni romance drama
JohnLeeHancock,KevinCostner,WoodyHarrelson,KathyBates,crime drama thriller,The Highwaymen,KevinCostner WoodyHarrelson KathyBates JohnLeeHancock crime drama thriller
RobertRodriguez,RobyAttal,LaurenHatfield,AlejandroRoseGarcia,thriller science fiction,Red 11,RobyAttal LaurenHatfield AlejandroRoseGarcia RobertRodriguez thriller science fiction
IvanKavanagh,EmileHirsch,TimAhern,DéborahFrançois,western,Never Grow Old,EmileHirsch TimAhern DéborahFrançois IvanKavanagh western
JesseV.Johnson,TonyJaa,IkoUwais,TigerChen,thriller action,Triple Threat,TonyJaa IkoUwais TigerChen JesseV.Johnson thriller action
JordanPeele,LupitaNyong'o,WinstonDuke,ShahadiWrightJoseph,thriller horror mystery,Us,LupitaNyong'o WinstonDuke ShahadiWrightJoseph JordanPeele thriller horror mystery
AnthonyMaras,DevPatel,ArmieHammer,NazaninBoniadi,thriller history drama action,Hotel Mumbai,DevPatel ArmieHammer NazaninBoniadi AnthonyMaras thriller history drama action
JeffTremaine,DouglasBooth,IwanRheon,MachineGunKelly,drama music history,The Dirt,DouglasBooth IwanRheon MachineGunKelly JeffTremaine drama music history
S.CraigZahler,MelGibson,VinceVaughn,MichaelJaiWhite,crime action thriller,Dragged Across Concrete,MelGibson VinceVaughn MichaelJaiWhite S.CraigZahler crime action thriller
TimBurton,ColinFarrell,MichaelKeaton,DannyDeVito,animation family,Dumbo,ColinFarrell MichaelKeaton DannyDeVito TimBurton animation family
HarmonyKorine,MatthewMcConaughey,ZacEfron,JonahHill,comedy,The Beach Bum,MatthewMcConaughey ZacEfron JonahHill HarmonyKorine comedy
"ChuckKonzelman,CarySoloman",AshleyBratcher,BrooksRyan,RobiaScott,drama,Unplanned,"AshleyBratcher BrooksRyan RobiaScott ChuckKonzelman,CarySoloman drama"
DavidF.Sandberg,ZacharyLevi,AsherAngel,MarkStrong,action comedy fantasy,Shazam!,ZacharyLevi AsherAngel MarkStrong DavidF.Sandberg action comedy fantasy
"KevinKolsch,DennisWidmyer",JasonClarke,AmySeimetz,JohnLithgow,horror thriller,Pet Sematary,"JasonClarke AmySeimetz JohnLithgow KevinKolsch,DennisWidmyer horror thriller"
RobinBissell,TarajiP.Henson,SamRockwell,unknown,drama history,The Best of Enemies,TarajiP.Henson SamRockwell unknown RobinBissell drama history
ClaireDenis,RobertPattinson,JulietteBinoche,AndréBenjamin,science fiction drama mystery thriller,High Life,RobertPattinson JulietteBinoche AndréBenjamin ClaireDenis science fiction drama mystery thriller
BrieLarson,BrieLarson,SamuelL.Jackson,JoanCusack,fantasy drama comedy,Unicorn Store,BrieLarson SamuelL.Jackson JoanCusack BrieLarson fantasy drama comedy
DanielFarrands,HilaryDuff,JonathanBennett,LydiaHearst,horror thriller,The Haunting of Sharon Tate,HilaryDuff JonathanBennett LydiaHearst DanielFarrands horror thriller
EmmaTammi,CaitlinGerard,AshleyZukerman,JuliaGoldaniTelles,western horror thriller,The Wind,CaitlinGerard AshleyZukerman JuliaGoldaniTelles EmmaTammi western horror thriller
JohnR.Leonetti,KiernanShipka,StanleyTucci,MirandaOtto,horror drama thriller fantasy,The Silence,KiernanShipka StanleyTucci MirandaOtto JohnR.Leonetti horror drama thriller fantasy
NeilMarshall,DavidHarbour,MillaJovovich,IanMcShane,fantasy action adventure science fiction,Hellboy,DavidHarbour MillaJovovich IanMcShane NeilMarshall fantasy action adventure science fiction
TinaGordon,IssaRae,ReginaHall,MarsaiMartin,comedy,Little,IssaRae ReginaHall MarsaiMartin TinaGordon comedy
ChrisButler,HughJackman,ZachGalifianakis,ZoeSaldana,family animation comedy adventure fantasy,Missing Link,HughJackman ZachGalifianakis ZoeSaldana ChrisButler family animation comedy adventure fantasy
JennyGage,JosephineLangford,HeroFiennesTiffin,SelmaBlair,romance drama,After,JosephineLangford HeroFiennesTiffin SelmaBlair JennyGage romance drama
AlexRossPerry,ElisabethMoss,CaraDelevingne,DanStevens,drama music,Her Smell,ElisabethMoss CaraDelevingne DanStevens AlexRossPerry drama music
RoxannDawson,ChrissyMetz,JoshLucas,TopherGrace,drama,Breakthrough,ChrissyMetz JoshLucas TopherGrace RoxannDawson drama
MichaelChaves,LindaCardellini,RaymondCruz,PatriciaVelasquez,horror thriller,The Curse of La Llorona,LindaCardellini RaymondCruz PatriciaVelasquez MichaelChaves horror thriller
DavidRobertMitchell,AndrewGarfield,RileyKeough,TopherGrace,crime drama mystery,Under the Silver Lake,AndrewGarfield RileyKeough TopherGrace DavidRobertMitchell crime drama mystery
LauraSteinel,TaylorSchilling,BrianTyreeHenry,BrynVale,animation adventure comedy family,Family,TaylorSchilling BrianTyreeHenry BrynVale LauraSteinel animation adventure comedy family
JuliaHart,GuguMbatha-Raw,LorraineToussaint,SaniyyaSidney,thriller science fiction,Fast Color,GuguMbatha-Raw LorraineToussaint SaniyyaSidney JuliaHart thriller science fiction
JenniferKaytinRobinson,GinaRodriguez,BrittanySnow,DeWandaWise,comedy romance,Someone Great,GinaRodriguez BrittanySnow DeWandaWise JenniferKaytinRobinson comedy romance
MeirZarchi,CamilleKeaton,MariaOlsen,MeirZarchi,horror thriller,I Spit on Your Grave: Deja Vu,CamilleKeaton MariaOlsen MeirZarchi MeirZarchi horror thriller
AnthonyandJoeRusso,RobertDowneyJr.,ChrisEvans,MarkRuffalo,adventure science fiction action,Avengers: Endgame,RobertDowneyJr. ChrisEvans MarkRuffalo AnthonyandJoeRusso adventure science fiction action
JoshLobo,A.J.Bowen,ScottPoythress,SusanBurke,horror mystery drama,I Trapped the Devil,A.J.Bowen ScottPoythress SusanBurke JoshLobo horror mystery drama
RoxanneBenjamin,KarinaFontes,CaseyAdams,EmilyAlthaus,thriller,Body at Brighton Rock,KarinaFontes CaseyAdams EmilyAlthaus RoxanneBenjamin thriller
TanyaWexler,ZoeyDeutch,JermaineFowler,JudyGreer,comedy drama romance,Buffaloed,ZoeyDeutch JermaineFowler JudyGreer TanyaWexler comedy drama romance
JonathanLevine,SethRogen,CharlizeTheron,O'SheaJacksonJr.,comedy romance,Long Shot,SethRogen CharlizeTheron O'SheaJacksonJr. JonathanLevine comedy romance
DeonTaylor,DennisQuaid,MichaelEaly,MeaganGood,thriller,The Intruder,DennisQuaid MichaelEaly MeaganGood DeonTaylor thriller
KellyAsbury,KellyClarkson,Pitbull,NickJonas,family animation comedy adventure fantasy music,UglyDolls,KellyClarkson Pitbull NickJonas KellyAsbury family animation comedy adventure fantasy music
JoeBerlinger,ZacEfron,LilyCollins,KayaScodelario,thriller crime drama,"Extremely Wicked, Shockingly Evil and Vile",ZacEfron LilyCollins KayaScodelario JoeBerlinger thriller crime drama
WilliamBindley,KJApa,MaiaMitchell,JacobLatimore,romance comedy,The Last Summer,KJApa MaiaMitchell JacobLatimore WilliamBindley romance comedy
RobLetterman,RyanReynolds,JusticeSmith,KathrynNewton,action adventure fantasy,Pokémon Detective Pikachu,RyanReynolds JusticeSmith KathrynNewton RobLetterman action adventure fantasy
ChrisAddison,AnneHathaway,RebelWilson,AlexSharp,comedy,The Hustle,AnneHathaway RebelWilson AlexSharp ChrisAddison comedy
DomeKarukoski,NicholasHoult,LilyCollins,ColmMeaney,war drama history romance,Tolkien,NicholasHoult LilyCollins ColmMeaney DomeKarukoski war drama history romance
ZaraHayes,DianeKeaton,JackiWeaver,PamGrier,comedy drama,Poms,DianeKeaton JackiWeaver PamGrier ZaraHayes comedy drama
ChadStahelski,KeanuReeves,HalleBerry,LaurenceFishburne,action thriller crime,John Wick: Chapter 3 – Parabellum,KeanuReeves HalleBerry LaurenceFishburne ChadStahelski action thriller crime
GailMancuso,DennisQuaid,JoshGad,MargHelgenberger,family adventure drama,A Dog's Journey,DennisQuaid JoshGad MargHelgenberger GailMancuso family adventure drama
RyRusso-Young,YaraShahidi,CharlesMelton,JohnLeguizamo,romance drama,The Sun Is Also a Star,YaraShahidi CharlesMelton JohnLeguizamo RyRusso-Young romance drama
WayneRoberts,JohnnyDepp,RosemarieDeWitt,DannyHuston,history drama mystery thriller,The Professor,JohnnyDepp RosemarieDeWitt DannyHuston WayneRoberts history drama mystery thriller
JoannaHogg,HonorSwintonByrne,TomBurke,TildaSwinton,drama,The Souvenir,HonorSwintonByrne TomBurke TildaSwinton JoannaHogg drama
GuyRitchie,MenaMassoud,WillSmith,NaomiScott,adventure fantasy romance family,Aladdin,MenaMassoud WillSmith NaomiScott GuyRitchie adventure fantasy romance family
DavidYarovesky,ElizabethBanks,DavidDenman,JacksonA.Dunn,horror thriller science fiction,Brightburn,ElizabethBanks DavidDenman JacksonA.Dunn DavidYarovesky horror thriller science fiction
OliviaWilde,KaitlynDever,BeanieFeldstein,JessicaWilliams,comedy,Booksmart,KaitlynDever BeanieFeldstein JessicaWilliams OliviaWilde comedy
RichardShepard,AllisonWilliams,LoganBrowning,StevenWeber,horror thriller drama,The Perfection,AllisonWilliams LoganBrowning StevenWeber RichardShepard horror thriller drama
NahnatchkaKhan,AliWong,RandallPark,DanielDaeKim,romance comedy,Always Be My Maybe,AliWong RandallPark DanielDaeKim NahnatchkaKhan romance comedy
MichaelDougherty,KyleChandler,VeraFarmiga,MillieBobbyBrown,science fiction action,Godzilla: King of the Monsters,KyleChandler VeraFarmiga MillieBobbyBrown MichaelDougherty science fiction action
DexterFletcher,TaronEgerton,JamieBell,RichardMadden,music drama history,Rocketman,TaronEgerton JamieBell RichardMadden DexterFletcher music drama history
TateTaylor,OctaviaSpencer,JulietteLewis,DianaSilvers,drama,Ma,OctaviaSpencer JulietteLewis DianaSilvers TateTaylor drama
SimonKinberg,JamesMcAvoy,MichaelFassbender,JenniferLawrence,science fiction action adventure,Dark Phoenix,JamesMcAvoy MichaelFassbender JenniferLawrence SimonKinberg science fiction action adventure
ChrisRenaud,PattonOswalt,EricStonestreet,KevinHart,adventure animation comedy family,The Secret Life of Pets 2,PattonOswalt EricStonestreet KevinHart ChrisRenaud adventure animation comedy family
NishaGanatra,EmmaThompson,MindyKaling,MaxCasella,comedy drama,Late Night,EmmaThompson MindyKaling MaxCasella NishaGanatra comedy drama
JoeTalbot,JimmieFails,JonathanMajors,DannyGlover,drama,The Last Black Man in San Francisco,JimmieFails JonathanMajors DannyGlover JoeTalbot drama
SethGreen,BreckinMeyer,MacaulayCulkin,BrendaSong,comedy drama,Changeland,BreckinMeyer MacaulayCulkin BrendaSong SethGreen comedy drama
F.GaryGray,ChrisHemsworth,TessaThompson,KumailNanjiani,comedy science fiction,Men in Black: International,ChrisHemsworth TessaThompson KumailNanjiani F.GaryGray comedy science fiction
TimStory,SamuelL.Jackson,JessieUsher,RichardRoundtree,action crime,Shaft,SamuelL.Jackson JessieUsher RichardRoundtree TimStory action crime
JimJarmusch,BillMurray,AdamDriver,TildaSwinton,comedy horror fantasy,The Dead Don't Die,BillMurray AdamDriver TildaSwinton JimJarmusch comedy horror fantasy
KyleNewacheck,AdamSandler,JenniferAniston,LukeEvans,comedy,Murder Mystery,AdamSandler JenniferAniston LukeEvans KyleNewacheck comedy
"JeffChan,AndrewRhymer",MayaErskine,JackQuaid,BeckBennett,romance comedy drama,Plus One,"MayaErskine JackQuaid BeckBennett JeffChan,AndrewRhymer romance comedy drama"
MirandaBailey,JimGaffigan,LoganMiller,SamanthaMathis,comedy,Being Frank,JimGaffigan LoganMiller SamanthaMathis MirandaBailey comedy
JoshCooley,TomHanks,TimAllen,AnniePotts,family adventure animation comedy fantasy drama,Toy Story 4,TomHanks TimAllen AnniePotts JoshCooley family adventure animation comedy fantasy drama
LucBesson,SashaLuss,HelenMirren,LukeEvans,thriller action,Anna,SashaLuss HelenMirren LukeEvans LucBesson thriller action
LarsKlevberg,AubreyPlaza,GabrielBateman,BrianTyreeHenry,horror,Child's Play,AubreyPlaza GabrielBateman BrianTyreeHenry LarsKlevberg horror
GaryDauberman,MckennaGrace,MadisonIseman,KatieSarife,horror thriller mystery,Annabelle Comes Home,MckennaGrace MadisonIseman KatieSarife GaryDauberman horror thriller mystery
DannyBoyle,HimeshPatel,LilyJames,EdSheeran,music comedy romance fantasy,Yesterday,HimeshPatel LilyJames EdSheeran DannyBoyle music comedy romance fantasy
ClaireMcCarthy,DaisyRidley,NaomiWatts,CliveOwen,romance history,Ophelia,DaisyRidley NaomiWatts CliveOwen ClaireMcCarthy romance history
MartinOwen,TommyFlanagan,RhyonNicoleBrown,JessicaAlba,action thriller crime mystery,Killers Anonymous,TommyFlanagan RhyonNicoleBrown JessicaAlba MartinOwen action thriller crime mystery
JonWatts,TomHolland,SamuelL.Jackson,Zendaya,action adventure science fiction,Spider-Man: Far From Home,TomHolland SamuelL.Jackson Zendaya JonWatts action adventure science fiction
JohnHerzfeld,SylvesterStallone,CurtisJackson,DaveBautista,action thriller crime,Escape Plan: The Extractors,SylvesterStallone CurtisJackson DaveBautista JohnHerzfeld action thriller crime
AriAster,FlorencePugh,JackReynor,WilliamJacksonHarper,horror drama mystery,Midsommar,FlorencePugh JackReynor WilliamJacksonHarper AriAster horror drama mystery
MichaelDowse,KumailNanjiani,DaveBautista,IkoUwais,action comedy,Stuber,KumailNanjiani DaveBautista IkoUwais MichaelDowse action comedy
AlexandreAja,KayaScodelario,BarryPepper,unknown,thriller horror action,Crawl,KayaScodelario BarryPepper unknown AlexandreAja thriller horror action
JoeLynch,FrankGrillo,AnthonyMackie,MarciaGayHarden,action thriller,Point Blank,FrankGrillo AnthonyMackie MarciaGayHarden JoeLynch action thriller
